keyword,final_score,competition_level,avg_views,total_likes,total_comments,video_count,is_automatizable,monetization_potential,tipo_monetizacion,views_norm,engagement_norm
invertir dinero,0.475,very_high,2533994.6666666665,1783044,6938,15,False,Muy Alto,Solo Anuncios,1.0,0.8023620674627385
criptomonedas para principiantes,0.178,high,68468.0,44239,3816,15,False,Muy Alto,Solo Anuncios,0.027019788518365735,0.17870896580713866
inversiones seguras,0.154,very_high,778826.7333333333,628613,5566,15,False,Medio,Difícil Monetizar,0.30735137037910104,0.4188447459611997
inteligencia artificial,0.143,very_high,618083.5333333333,518561,11473,15,False,Medio,Difícil Monetizar,0.2439166670174523,0.6454145270671952
desarrollo web,0.142,high,44756.6,40315,2413,15,False,Alto,Difícil Monetizar,0.01766246811358719,0.11646504593252556
finanzas personales,0.119,very_high,169926.26666666666,109916,3972,15,False,Muy Alto,Solo Anuncios,0.06705865205714719,0.203924636559046
educación financiera,0.11,high,56605.13333333333,32550,1000,15,False,Medio,Solo Anuncios,0.022338300106919458,0.05270822961472234
presupuesto mensual,0.106,high,34599.46666666667,17165,649,15,False,Medio,Difícil Monetizar,0.013654119766629344,0.03309719450265068
aprender python,0.078,very_high,120997.33333333333,76006,2555,15,False,Alto,Difícil Monetizar,0.047749640093954424,0.13266193459273345
ahorrar dinero,0.056,very_high,118049.93333333333,68909,6232,15,False,Medio,Difícil Monetizar,0.04658649636726413,0.29091759309699217
